100,200,1.5625
100,400,2.8125
100,600,4.21875
100,800,6.09375
100,1000,7.03125
100,1200,8.4375
100,1400,9.6875
100,1600,11.09375
100,1800,12.5
100,2000,14.0625
100,2200,15.3125
100,2400,16.71875
100,2600,17.96875
100,2800,19.21875
100,3000,20.9375
100,3200,22.34375
100,3400,23.59375
100,3600,25
100,3800,26.5625
100,4000,27.8125
 100.00000, 200.00000,   1.56250
 100.00000, 400.00000,   2.65625
 100.00000, 600.00000,   4.21875
 100.00000, 800.00000,   5.62500
 100.00000,1000.00000,   7.03125
 100.00000,1200.00000,   8.28125
 100.00000,1400.00000,   9.68750
 100.00000,1600.00000,  11.09375
 100.00000,1800.00000,  12.34375
 100.00000,2000.00000,  13.75000
 100.00000,2200.00000,  15.15625
 100.00000,2400.00000,  16.71875
 100.00000,2600.00000,  18.12500
 100.00000,2800.00000,  19.53125
 100.00000,3000.00000,  20.93750
 100.00000,3200.00000,  22.34375
 100.00000,3400.00000,  23.43750
 100.00000,3600.00000,  25.00000
 100.00000,3800.00000,  26.40625
 100.00000,4000.00000,  27.65625
 100.00000, 100.00000,  15.62500
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,  15.62500
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.00000
 100.00000, 100.00000,   0.78125
 100.00000, 100.00000,   0.59375
 100.00000, 100.00000,   0.47969
